id,fecha,cliente_id,producto_id,cantidad
1,2025-12-29,367,53,1
2,2025-04-03,173,54,2
3,2024-12-31,270,80,1
4,2025-02-09,254,37,1
5,2025-06-20,365,112,1
6,2024-08-06,305,35,1
7,2025-05-14,208,84,1
8,2024-05-27,171,92,2
9,2025-08-14,341,62,1
10,2025-09-10,363,26,1
11,2025-06-17,105,75,1
12,2025-01-17,150,71,2
13,2025-09-28,77,70,1
14,2025-05-23,59,53,1
15,2024-04-28,77,15,2
16,2024-01-10,290,84,2
17,2025-11-11,321,111,1
18,2025-07-29,166,29,1
19,2024-02-09,102,58,1
20,2025-06-10,258,37,1
21,2025-02-18,248,99,2
22,2025-04-10,165,49,1
23,2024-05-21,75,9,1
24,2024-12-27,43,93,1
25,2024-12-24,5,53,2
26,2024-07-07,78,16,1
27,2025-09-12,37,56,1
28,2024-04-17,325,118,2
29,2024-03-22,357,106,1
30,2025-10-03,93,118,1
31,2024-06-21,287,78,2
32,2024-12-19,90,4,1
33,2025-08-07,33,55,1
34,2024-01-07,85,27,1
35,2025-10-09,241,43,1
36,2025-04-28,276,63,1
37,2025-12-14,1,77,1
38,2025-02-01,226,77,2
39,2025-02-18,355,40,2
40,2025-05-16,117,60,1
41,2024-09-07,326,112,1
42,2025-10-16,313,77,1
43,2024-03-16,2,54,1
44,2025-12-20,355,65,1
45,2025-05-13,50,32,2
46,2025-07-22,26,22,1
47,2025-07-15,244,99,1
48,2025-07-04,104,115,2
49,2024-12-28,32,99,1
50,2024-07-25,23,75,1
51,2024-09-26,208,34,1
52,2025-09-27,20,63,1
53,2024-06-13,133,90,1
54,2025-09-16,89,45,2
55,2024-07-20,137,10,1
56,2025-10-12,223,38,1
57,2025-01-05,169,93,2
58,2025-04-30,40,113,2
59,2024-05-11,359,9,1
60,2024-02-27,280,40,1
61,2024-05-22,135,1,1
62,2024-11-26,65,51,1
63,2024-05-06,293,116,1
64,2025-03-06,227,48,1
65,2025-02-16,242,54,1
66,2024-06-04,113,99,2
67,2025-05-11,222,98,1
68,2025-03-21,377,18,2
69,2024-04-15,166,115,1
70,2025-04-05,101,26,1
71,2025-11-24,161,36,2
72,2025-08-19,384,71,1
73,2025-03-03,210,62,2
74,2024-11-09,50,1,1
75,2024-04-12,260,111,1
76,2024-03-13,45,73,2
77,2025-10-11,245,29,1
78,2024-12-03,63,49,1
79,2024-02-18,15,9,1
80,2025-03-17,146,46,1
81,2024-03-08,189,72,2
82,2025-02-21,399,59,1
83,2025-02-28,43,57,2
84,2025-05-17,26,15,1
85,2025-09-29,228,35,2
86,2025-10-09,288,74,1
87,2025-10-21,60,74,2
88,2025-08-30,95,80,2
89,2025-02-14,389,110,2
90,2025-01-01,42,80,3
91,2024-12-19,53,93,1
92,2024-11-11,353,30,1
93,2025-10-20,48,24,2
94,2025-04-24,131,50,3
95,2024-10-12,322,110,1
96,2025-03-15,109,24,2
97,2024-03-20,150,35,1
98,2025-01-29,391,87,1
99,2025-04-01,315,119,2
100,2024-05-27,281,84,2
101,2024-04-26,150,23,1
102,2025-06-29,370,103,1
103,2025-07-25,354,54,1
104,2025-03-02,58,67,1
105,2025-03-24,78,91,1
106,2025-07-17,351,31,1
107,2024-12-15,152,11,3
108,2024-12-07,322,48,1
109,2024-12-26,121,22,1
110,2024-02-20,78,26,1
111,2025-07-13,128,60,1
112,2025-01-11,389,12,1
113,2025-02-06,50,100,1
114,2025-10-15,116,74,1
115,2025-09-25,313,112,2
116,2024-10-02,128,29,2
117,2024-10-09,45,75,2
118,2025-06-05,28,76,1
119,2025-01-01,13,24,1
120,2024-09-01,232,32,1
121,2024-02-25,392,88,1
122,2024-05-15,82,75,1
123,2024-09-25,127,4,1
124,2024-03-06,117,51,1
125,2025-04-18,374,113,1
126,2025-09-13,369,70,1
127,2025-03-26,221,76,1
128,2024-10-04,327,6,1
129,2025-04-27,267,106,1
130,2024-07-21,236,43,2
131,2024-01-24,371,64,1
132,2025-02-10,153,37,1
133,2024-04-24,287,85,1
134,2025-11-20,373,13,1
135,2024-05-09,61,94,1
136,2024-12-17,207,79,1
137,2024-06-03,134,3,1
138,2024-06-07,281,40,1
139,2025-10-28,45,93,1
140,2024-04-13,210,47,1
141,2024-09-08,370,117,1
142,2025-12-06,279,70,1
143,2025-09-10,331,4,1
144,2024-10-19,16,67,1
145,2025-07-16,396,79,1
146,2025-03-04,70,49,1
147,2024-11-17,393,16,2
148,2024-07-14,162,4,1
149,2025-11-19,18,18,1
150,2024-06-16,346,68,1
151,2025-07-27,374,73,2
152,2024-02-21,184,58,1
153,2024-02-11,228,5,1
154,2024-10-17,192,106,3
155,2024-06-17,65,120,1
156,2025-10-24,342,34,1
157,2024-03-05,216,44,2
158,2025-09-29,364,87,2
159,2025-10-21,104,63,1
160,2025-07-08,127,43,1
161,2025-12-09,141,49,1
162,2025-07-06,114,66,1
163,2025-07-04,303,34,1
164,2025-12-11,270,7,1
165,2024-12-06,304,46,1
166,2025-06-30,131,54,1
167,2025-11-05,239,91,2
168,2025-09-24,186,63,2
169,2024-07-08,200,39,1
170,2025-10-26,216,85,1
171,2024-08-08,29,35,2
172,2025-06-23,34,88,1
173,2024-04-05,313,48,1
174,2025-01-23,312,74,1
175,2024-10-02,275,47,1
176,2024-05-01,43,2,1
177,2024-04-17,67,92,1
178,2025-12-10,78,24,1
179,2024-08-06,195,74,2
180,2025-03-14,177,46,1
181,2025-01-15,235,92,1
182,2024-10-17,16,91,2
183,2025-11-22,396,62,1
184,2025-04-16,74,25,1
185,2024-12-16,145,55,1
186,2024-09-17,279,3,1
187,2024-11-22,226,56,1
188,2024-07-20,68,98,2
189,2024-10-19,49,71,1
190,2024-10-07,218,35,2
191,2025-08-28,3,68,1
192,2025-11-05,45,64,1
193,2024-03-22,115,13,2
194,2024-04-24,26,1,2
195,2024-09-19,291,95,1
196,2025-09-23,261,72,1
197,2024-11-11,263,88,1
198,2025-09-27,231,48,3
199,2024-06-10,302,113,2
