venta_id,fecha_envio,fecha_entrega,costo_envio,transportista,estado
1,2024-12-31,2025-01-05,9.29,Seur,En tránsito
2,2024-04-05,2024-04-10,16.11,DHL,Entregado
3,2024-01-01,2024-01-06,13.12,Seur,Entregado
4,2024-02-09,2024-02-10,11.14,Seur,Incidencia
6,2023-08-06,2023-08-08,3.0,Seur,Entregado
7,2024-05-15,2024-05-19,19.18,MRW,En tránsito
8,2023-05-27,2023-06-01,9.09,Correos,Entregado
9,2024-08-15,2024-08-17,3.56,Seur,Incidencia
11,2024-06-18,2024-06-23,8.61,DHL,En tránsito
12,2024-01-17,2024-01-20,13.36,Seur,En tránsito
13,2024-09-30,2024-10-01,11.15,DHL,Incidencia
15,2023-04-29,2023-05-01,13.13,Correos,Incidencia
16,2023-01-11,2023-01-14,19.44,Seur,Entregado
18,2024-07-31,2024-08-04,18.33,Correos,Incidencia
19,2023-02-11,2023-02-12,4.98,MRW,Entregado
21,2024-02-20,2024-02-24,4.38,MRW,Incidencia
22,2024-04-10,2024-04-12,8.42,GLS,Entregado
23,2023-05-22,2023-05-24,12.01,GLS,Entregado
25,2023-12-26,2023-12-30,4.23,Seur,Entregado
26,2023-07-09,2023-07-12,11.94,GLS,Entregado
27,2024-09-14,2024-09-18,17.9,DHL,Entregado
28,2023-04-17,2023-04-19,6.48,GLS,Entregado
29,2023-03-23,2023-03-28,5.33,Correos,Entregado
30,2024-10-05,2024-10-07,6.59,Seur,Entregado
31,2023-06-22,2023-06-23,4.71,MRW,En tránsito
33,2024-08-07,2024-08-11,12.21,Correos,Incidencia
34,2023-01-08,2023-01-10,15.24,Seur,Entregado
36,2024-04-28,2024-04-29,9.53,Seur,Entregado
37,2024-12-14,2024-12-18,17.11,Seur,Entregado
38,2024-02-02,2024-02-04,9.0,DHL,Incidencia
39,2024-02-20,2024-02-23,17.35,MRW,Entregado
40,2024-05-17,2024-05-20,7.8,MRW,Entregado
41,2023-09-09,2023-09-11,4.64,Correos,Entregado
42,2024-10-16,2024-10-17,12.54,MRW,Incidencia
43,2023-03-17,2023-03-22,18.15,DHL,Entregado
44,2024-12-22,2024-12-25,19.53,GLS,Entregado
46,2024-07-22,2024-07-26,15.88,DHL,Incidencia
47,2024-07-15,2024-07-16,7.45,DHL,Entregado
48,2024-07-05,2024-07-08,19.27,Correos,Entregado
49,2023-12-29,2024-01-01,14.61,MRW,Entregado
50,2023-07-25,2023-07-26,7.27,MRW,Entregado
51,2023-09-28,2023-10-03,12.07,MRW,Entregado
52,2024-09-28,2024-09-29,5.66,GLS,Incidencia
54,2024-09-17,2024-09-18,13.77,Correos,Entregado
55,2023-07-20,2023-07-23,16.52,Seur,En tránsito
56,2024-10-14,2024-10-15,3.64,GLS,En tránsito
57,2024-01-06,2024-01-10,2.88,MRW,Entregado
58,2024-04-30,2024-05-02,19.87,MRW,Entregado
59,2023-05-12,2023-05-14,15.82,MRW,Incidencia
60,2023-02-27,2023-03-02,8.81,MRW,Entregado
62,2023-11-26,2023-11-30,6.39,MRW,Entregado
63,2023-05-07,2023-05-09,4.14,Correos,Entregado
66,2023-06-04,2023-06-09,11.07,MRW,Incidencia
68,2024-03-22,2024-03-23,6.14,MRW,Incidencia
71,2024-11-24,2024-11-28,13.25,GLS,Entregado
72,2024-08-21,2024-08-23,15.75,Seur,En tránsito
73,2024-03-03,2024-03-08,5.94,Seur,Incidencia
76,2023-03-13,2023-03-17,11.82,Seur,Entregado
77,2024-10-13,2024-10-14,6.2,Seur,Incidencia
81,2023-03-10,2023-03-15,13.45,GLS,Entregado
83,2024-02-29,2024-03-04,2.53,MRW,Incidencia
84,2024-05-18,2024-05-21,3.34,Seur,Entregado
85,2024-10-01,2024-10-06,16.88,Seur,Entregado
86,2024-10-09,2024-10-14,19.09,Seur,Entregado
87,2024-10-21,2024-10-23,19.28,GLS,En tránsito
88,2024-08-31,2024-09-04,6.78,MRW,En tránsito
89,2024-02-16,2024-02-21,7.45,DHL,En tránsito
90,2024-01-02,2024-01-03,7.65,Seur,Entregado
91,2023-12-19,2023-12-22,10.25,DHL,Entregado
92,2023-11-11,2023-11-14,13.15,Seur,Incidencia
93,2024-10-20,2024-10-23,10.74,GLS,Entregado
95,2023-10-14,2023-10-16,17.01,MRW,Entregado
98,2024-01-29,2024-02-03,6.08,MRW,Entregado
99,2024-04-01,2024-04-03,18.73,DHL,En tránsito
100,2023-05-28,2023-05-30,4.06,GLS,Entregado
101,2023-04-28,2023-05-03,19.67,GLS,Entregado
103,2024-07-25,2024-07-27,3.87,GLS,En tránsito
104,2024-03-03,2024-03-08,16.51,Correos,Entregado
106,2024-07-17,2024-07-20,4.82,Correos,Entregado
107,2023-12-17,2023-12-18,12.86,MRW,Incidencia
108,2023-12-08,2023-12-10,3.23,DHL,En tránsito
109,2023-12-26,2023-12-29,6.44,Correos,Entregado
110,2023-02-20,2023-02-21,15.86,GLS,En tránsito
111,2024-07-13,2024-07-18,17.83,Seur,Entregado
112,2024-01-13,2024-01-16,2.91,GLS,Entregado
114,2024-10-17,2024-10-21,16.69,Correos,Incidencia
115,2024-09-27,2024-10-02,13.54,GLS,Incidencia
118,2024-06-05,2024-06-06,15.69,DHL,Incidencia
119,2024-01-03,2024-01-04,4.64,MRW,Entregado
120,2023-09-03,2023-09-07,3.26,MRW,Incidencia
121,2023-02-27,2023-03-04,16.21,GLS,Entregado
122,2023-05-15,2023-05-18,12.54,Seur,Entregado
124,2023-03-06,2023-03-10,8.85,MRW,Entregado
126,2024-09-15,2024-09-18,16.71,Correos,Entregado
127,2024-03-26,2024-03-31,9.22,GLS,En tránsito
128,2023-10-04,2023-10-09,5.5,MRW,Incidencia
130,2023-07-23,2023-07-24,16.12,Correos,Entregado
131,2023-01-26,2023-01-31,18.57,GLS,Entregado
133,2023-04-26,2023-04-27,5.3,GLS,Incidencia
134,2024-11-21,2024-11-26,8.45,MRW,Incidencia
135,2023-05-11,2023-05-13,18.29,GLS,Entregado
137,2023-06-05,2023-06-09,3.31,Correos,En tránsito
138,2023-06-08,2023-06-13,2.61,GLS,Incidencia
139,2024-10-30,2024-11-01,8.38,MRW,En tránsito
140,2023-04-15,2023-04-16,18.07,DHL,Incidencia
142,2024-12-07,2024-12-08,7.67,MRW,Entregado
143,2024-09-11,2024-09-12,3.8,GLS,Entregado
144,2023-10-19,2023-10-24,7.36,Correos,En tránsito
145,2024-07-16,2024-07-18,8.63,Seur,Entregado
146,2024-03-06,2024-03-11,15.99,Seur,Entregado
